entry_id,reduced_formula,nelem,spacegroup_symbol,crystal_system,magnetic_ordering,magnetic_polarization_T,total_magnetic_moment_uB,mae_energy_da_meV_cell,mae_constant_da_MJ_m3,easy_axis,kappa,curie_temperature_K,formation_energy_meV_atom,above_hull_meV_atom,formula_key,formula_parse_status
MMD-1143,Fe3Cu,2,Cmmm,orthorhombic,Ferromagnetic,1.84,14.86,,,c,0.64,,66.110198,66.110198,Cu1Fe3,ok
MMD-1144,Fe4Si,2,Fmmm,orthorhombic,Ferromagnetic,1.76,35.34,,,a,0.362,,-71.595915,184.316609,Fe4Si1,ok
MMD-1145,Fe2Si,2,I4/mmm,tetragonal,Ferromagnetic,0.85,4.73,,,c,1.873,,-260.073613,123.574269,Fe2Si1,ok
MMD-1146,Fe2Si,2,P4/mmm,tetragonal,Ferromagnetic,0.81,4.55,,,c,1.569,,-316.488696,67.159187,Fe2Si1,ok
MMD-1147,Fe3Ge2,2,P-6m2,hexagonal,Ferromagnetic,0.97,5.68,,,ab plane,0.823,,-70.464274,43.424619,Fe3Ge2,ok
MMD-1148,Fe4N,2,R-3m,trigonal,Ferromagnetic,1.58,19.78,,,ab plane,0.456,,155.393661,209.727004,Fe4N1,ok
MMD-1149,Fe3Si,2,P4/mmm,tetragonal,Ferromagnetic,1.32,5.03,,,c,1.26,,-225.635245,94.255409,Fe3Si1,ok
MMD-1150,Fe4Mo,2,I4/mmm,tetragonal,Ferromagnetic,1.66,17.87,,,ab plane,0.702,,175.173768,181.52595,Fe4Mo1,ok
MMD-1151,Fe3Ge2,2,P-3m1,trigonal,Ferromagnetic,0.87,5.1,,,ab plane,0.99,,13.821867,127.71076,Fe3Ge2,ok
MMD-1152,Fe7Ge4,2,P-6m2,hexagonal,Ferromagnetic,1.05,12.85,,,ab plane,0.624,,-57.406357,53.587429,Fe7Ge4,ok
MMD-1153,CrFe,2,Cmmm,orthorhombic,Ferromagnetic,0.94,3.7,,,,,,76.170763,76.170763,Cr1Fe1,ok
MMD-1154,CrFe4,2,Fmmm,orthorhombic,Ferromagnetic,1.71,33.64,,,,,,13.300626,13.300626,Cr1Fe4,ok
MMD-1155,Fe4C,2,P-43m,cubic,Ferromagnetic,1.71,8.3,-0.148,-0.417,<111>,0.426,,478.715316,478.715316,C1Fe4,ok
MMD-1156,Fe3C,2,P6_322,hexagonal,Ferromagnetic,1.69,11.81,,,c,0.458,,16.062974,16.062974,C1Fe3,ok
MMD-1157,VFe,2,Pm-3m,cubic,Ferromagnetic,0.39,0.8,0.0,0.0,a,0.0,,-137.034706,17.668179,Fe1V1,ok
MMD-1158,Y3Fe29,2,C2/m,monoclinic,Ferromagnetic,1.75,127.4,,,,,,-10.538099,20.702333,Fe29Y3,ok
MMD-1159,FeNi3,2,Pm-3m,cubic,Ferromagnetic,1.27,4.82,-0.001,-0.002,<111>,0.039,,-88.007484,0.0,Fe1Ni3,ok
MMD-1160,FeS2,2,Pnnm,orthorhombic,Ferromagnetic,0.0,0.0,,,,,,-528.370715,0.0,Fe1S2,ok
MMD-1161,YFe2,2,Fd-3m,cubic,Ferromagnetic,0.78,25.9,-0.001,-0.001,<111>,0.032,,-76.91288,0.0,Fe2Y1,ok
MMD-1162,Fe3Pt,2,Pm-3m,cubic,Ferromagnetic,1.9,8.49,-0.059,-0.183,<111>,0.255,,-79.64855,40.354574,Fe3Pt1,ok
MMD-1163,FeSi2,2,Cmce,orthorhombic,Ferromagnetic,0.0,0.0,,,,,,-443.771439,0.0,Fe1Si2,ok
MMD-1164,ZrFe2,2,Fd-3m,cubic,Ferromagnetic,0.82,24.71,-0.006,-0.003,<111>,0.07,,-299.339181,0.0,Fe2Zr1,ok
MMD-1165,Zn13Fe,2,C2/m,monoclinic,Ferromagnetic,0.03,1.22,,,,,,-31.18356,0.0,Fe1Zn13,ok
MMD-1166,Zr2Fe,2,Fd-3m,cubic,Ferromagnetic,0.09,13.94,,,,,,-99.887216,66.057542,Fe1Zr2,ok
MMD-1167,Fe12As5,2,R32,trigonal,Ferromagnetic,1.28,70.45,,,,,,-53.732788,53.425231,As5Fe12,ok
MMD-1168,Fe3N,2,P6_322,hexagonal,Ferromagnetic,1.76,12.29,,,ab plane,0.382,,-67.916678,0.0,Fe3N1,ok
MMD-1169,Fe7C3,2,P6_3mc,hexagonal,Ferromagnetic,1.51,23.55,,,c,0.351,,35.804046,35.804046,C3Fe7,ok
MMD-1170,Fe15Co,2,Pm-3m,cubic,Ferromagnetic,2.27,35.93,0.007,0.006,a,0.038,,-14.563796,-1.930734,Co1Fe15,ok
MMD-1171,Fe3P,2,I-4,tetragonal,Ferromagnetic,1.48,45.44,,,c,0.087,,-356.501974,0.0,Fe3P1,ok
MMD-1172,Fe2C,2,Pnnm,orthorhombic,Ferromagnetic,1.32,6.45,,,a,0.854,,6.486676,6.486676,C1Fe2,ok
MMD-1173,Fe2B,2,I4/mcm,tetragonal,Ferromagnetic,1.59,14.76,,,ab plane,0.435,,-312.103337,0.0,B1Fe2,ok
MMD-1174,Fe11Si5,2,Pm-3m,cubic,Ferromagnetic,0.85,12.66,0.0,0.0,a,0.015,,-351.482251,16.226324,Fe11Si5,ok
MMD-1175,GaFe3,2,Pm-3m,cubic,Ferromagnetic,1.66,6.97,0.001,0.003,a,0.035,,-126.906818,0.0,Fe3Ga1,ok
MMD-1176,FeP2,2,Pnnm,orthorhombic,Ferromagnetic,0.0,0.0,,,,,,-544.602625,0.0,Fe1P2,ok
MMD-1177,FeAs2,2,Pnnm,orthorhombic,Ferromagnetic,0.0,0.0,,,,,,-249.842278,0.0,As2Fe1,ok
MMD-1178,FeSe,2,Pm-3m,cubic,Ferromagnetic,0.78,1.9,0.001,0.007,a,0.119,,250.336422,518.769967,Fe1Se1,ok
MMD-1179,AlFe3,2,Fm-3m,cubic,Ferromagnetic,1.47,23.89,-0.004,-0.003,<111>,0.045,,-197.101507,3.942167,Al1Fe3,ok
MMD-1180,FeSe,2,P4/nmm,tetragonal,Ferromagnetic,0.02,0.14,,,,,,-268.433545,0.0,Fe1Se1,ok
MMD-1181,Fe3Ge,2,Pm-3m,cubic,Ferromagnetic,1.56,6.41,0.002,0.005,a,0.053,,-97.250805,4.69577,Fe3Ge1,ok
MMD-1182,Fe2As,2,P4/nmm,tetragonal,Ferromagnetic,0.98,6.56,,,ab plane,0.515,,-51.300753,70.145002,As1Fe2,ok
MMD-1183,Fe2Ge,2,P6_3/mmc,hexagonal,Ferromagnetic,1.24,7.86,,,ab plane,0.864,,-29.721697,78.859499,Fe2Ge1,ok
MMD-1184,Fe3Ge,2,Fm-3m,cubic,Ferromagnetic,1.39,22.71,0.003,0.002,a,0.039,,-101.946575,0.0,Fe3Ge1,ok
MMD-1185,FeSi2,2,P4/mmm,tetragonal,Ferromagnetic,0.0,0.0,,,,,,-383.118462,60.652977,Fe1Si2,ok
MMD-1186,FeB,2,Pnma,orthorhombic,Ferromagnetic,0.85,4.65,,,a,0.334,,-375.741264,8.836094,B1Fe1,ok
MMD-1187,Fe4P,2,Pm-3m,cubic,Ferromagnetic,1.57,9.52,0.002,0.005,a,0.049,,410.991457,696.193036,Fe4P1,ok
MMD-1188,FeCo,2,Pm-3m,cubic,Ferromagnetic,2.29,4.51,0.0,0.002,a,0.021,,-68.251089,0.0,Co1Fe1,ok
MMD-1189,FeS,2,P6_3/mmc,hexagonal,Ferromagnetic,0.09,0.39,,,c,3.498,,-249.117493,259.664818,Fe1S1,ok
MMD-1190,Fe3Ge,2,P6_3/mmc,hexagonal,Ferromagnetic,1.55,12.83,,,ab plane,0.374,,-93.212838,8.733737,Fe3Ge1,ok
MMD-1191,FeGe2,2,I4/mcm,tetragonal,Ferromagnetic,0.33,4.85,,,ab plane,4.208,,-60.766628,20.466998,Fe1Ge2,ok
MMD-1192,FeGe,2,P2_13,cubic,Ferromagnetic,0.48,4.23,-0.001,-0.001,<111>,0.083,,-90.832861,31.017577,Fe1Ge1,ok
MMD-1193,FeS,2,Pnma,orthorhombic,Ferromagnetic,0.0,0.0,,,,,,-285.692114,223.090197,Fe1S1,ok
MMD-1194,Fe2N,2,Pbcn,orthorhombic,Ferromagnetic,1.23,11.93,,,b,0.979,,-31.738821,57.868846,Fe2N1,ok
MMD-1195,Fe3S4,2,Fd-3m,cubic,Ferromagnetic,0.43,31.56,,,,,,-353.528602,163.64874,Fe3S4,ok
MMD-1196,Fe7S8,2,P3_1,trigonal,Ferromagnetic,0.39,20.44,,,,,,-352.612514,160.087478,Fe7S8,ok
MMD-1197,Fe7C3,2,Pnma,orthorhombic,Ferromagnetic,1.53,47.93,,,a,0.374,,20.674378,20.674378,C3Fe7,ok
MMD-1198,Fe3Si,2,Fm-3m,cubic,Ferromagnetic,1.32,19.97,0.002,0.002,a,0.037,,-319.890654,0.0,Fe3Si1,ok
MMD-1199,FeNi,2,P4/mmm,tetragonal,Ferromagnetic,1.69,3.26,,,c,0.367,,-68.853346,0.0,Fe1Ni1,ok
MMD-1200,FeGe,2,P6/mmm,hexagonal,Ferromagnetic,0.53,3.95,,,c,1.426,,-121.850438,0.0,Fe1Ge1,ok
MMD-1201,FeGe,2,C2/m,monoclinic,Ferromagnetic,0.61,11.5,,,a,1.839,,-99.256396,22.594042,Fe1Ge1,ok
MMD-1202,FeS2,2,Pa-3,cubic,Ferromagnetic,0.0,0.0,,,,,,-518.968474,9.402241,Fe1S2,ok
MMD-1203,FePt,2,P4/mmm,tetragonal,Ferromagnetic,1.37,3.31,,,c,3.306,,-240.006249,0.0,Fe1Pt1,ok
MMD-1204,FeS,2,P2_1/c,monoclinic,Ferromagnetic,0.11,2.9,,,,,,-348.660887,160.121424,Fe1S1,ok
