material_id,formula,density,energy_above_hull,formation_energy_per_atom,magnetic_ordering,total_magnetization,magnetization_per_volume,magnetization_per_formula_unit,volume,nsites,crystal_system,space_group,is_stable,density_atomic,composition,elements,nelements,avg_atomic_weight,cell_mass,magnetic_performance_index,score_performance,score_stability,score_is_stable_bonus,score_simplicity,composite_score
mp-1196909,MgFe2BO5,4.1397908781125805,0.0,-2.3242609279629622,FM,36.000655,0.098930663431361,9.00016375,363.8978427045277,36,Orthorhombic,Pbam,True,10.108273408459103,"{'Mg': 4.0, 'Fe': 8.0, 'B': 4.0, 'O': 20.0}","['B', 'Fe', 'Mg', 'O']",4,0.4095448065985432,14.743613037547554,2.441779698661186,0.4007938983926351,1.0,1.0,0.6,0.7203175593570541
mp-773920,Cr5O12,2.9421326685534033,0.0,-1.8322077199999995,FM,24.0009774,0.0235217327337403,6.00024435,1020.3745477293072,68,Orthorhombic,Pbcn,True,15.005508054842757,"{'Cr': 20.0, 'O': 48.0}","['Cr', 'O']",2,0.1960701802165161,13.332772254723094,1.8001490568848295,0.2954765979061438,1.0,1.0,1.0,0.7181906391624575
mp-863405,Mn8PbO16,5.467221459520363,0.0,-1.851224195737932,FM,25.998543,0.0948256125205311,25.998543,274.1721599148218,25,Triclinic,P1,True,10.966886396592871,"{'Mn': 8.0, 'Pb': 1.0, 'O': 16.0}","['Mn', 'O', 'Pb']",3,0.4985208437299841,12.463021093249605,2.086054641605453,0.34240516150065364,1.0,1.0,0.8,0.7169620646002615
mp-1040941,CaFe2P2O9,3.564535046978772,0.0,-2.5805950415561227,FM,40.0,0.0600098524868323,10.0,666.5572125640037,56,Orthorhombic,Pnma,True,11.902807367214352,"{'Ca': 4.0, 'Fe': 8.0, 'P': 8.0, 'O': 36.0}","['Ca', 'Fe', 'O', 'P']",4,0.299470111294676,16.77032623250186,2.3851652881073773,0.391501204902103,1.0,1.0,0.6,0.7166004819608411
mp-22385,Np(Al2Fe)4,5.8820953211951235,0.0,-0.3111722529807788,FM,10.8172464,0.0566635481863243,10.8172464,190.90308930937573,13,Tetragonal,I4/mmm,True,14.684853023798134,"{'Np': 1.0, 'Al': 8.0, 'Fe': 4.0}","['Al', 'Fe', 'Np']",3,0.4005552736321334,5.207218557217735,2.0773559398627883,0.3409773559601665,1.0,1.0,0.8,0.7163909423840666
mp-556076,Sr2Co2O5,5.077583802162445,0.0,-2.1384436083333336,FM,13.9991144,0.0573653138105355,6.9995572,244.0344778071964,18,Triclinic,P1,True,13.55747098928869,"{'Sr': 4.0, 'Co': 4.0, 'O': 10.0}","['Co', 'O', 'Sr']",3,0.3745229332354151,6.741412798237471,2.076584659473759,0.34085075794068004,1.0,1.0,0.8,0.7163403031762721
mp-17489,Co7(AsO6)2,5.397917506664583,0.0,-1.4648406442857151,FM,41.9983896,0.0904891106331727,20.9991948,464.12644909567354,42,Orthorhombic,Imma,True,11.05062974037318,"{'Co': 14.0, 'As': 4.0, 'O': 24.0}","['As', 'Co', 'O']",3,0.4884714838416344,20.515802321348644,2.04712391658681,0.33601506944770193,1.0,1.0,0.8,0.7144060277790809
mp-1047495,Ca3Mn3(AsO4)4,3.6414877339661342,0.0,-2.324098579376658,FM,29.9993657,0.0391253199053911,14.99968285,766.7506814651324,52,Monoclinic,P2_1/c,True,14.745205412791009,"{'Ca': 6.0, 'Mn': 6.0, 'As': 8.0, 'O': 32.0}","['As', 'Ca', 'Mn', 'O']",4,0.2469608006143649,12.841961631946974,2.3360423087833024,0.3834381554817349,1.0,1.0,0.6,0.7133752621926941
mp-17631,Fe2Ni(PO4)2,3.90116609504944,0.0,-2.2409465053296698,FM,19.9998854,0.0651999262501569,9.9999427,306.74705556053976,26,Monoclinic,P2_1/c,True,11.797963675405375,"{'Fe': 4.0, 'Ni': 2.0, 'P': 4.0, 'O': 16.0}","['Fe', 'Ni', 'O', 'P']",4,0.3306643588996638,8.59727333139126,2.326305635412839,0.381839977202317,1.0,1.0,0.6,0.7127359908809268
mp-1210608,MgMnSiO4,3.5433455512755283,0.0,-2.907322040418719,FM,20.0001043,0.0622748995171565,5.000026075,321.1583552132432,28,Orthorhombic,Pnma,True,11.46994125761583,"{'Mg': 4.0, 'Mn': 4.0, 'Si': 4.0, 'O': 16.0}","['Mg', 'Mn', 'O', 'Si']",4,0.3089244723832227,8.649885226730238,2.3121814655060207,0.37952163492040786,1.0,1.0,0.6,0.7118086539681632
mp-694888,Ba8Mn8O21,5.836073612089998,0.0,-2.4928602307688728,FM,29.9999256,0.0562596831350955,29.9999256,533.2402162301847,37,Monoclinic,Pm,True,14.41189773595094,"{'Ba': 8.0, 'Mn': 8.0, 'O': 21.0}","['Ba', 'Mn', 'O']",3,0.4049483086139118,14.983087418714735,2.002252590646195,0.32864988672476986,1.0,1.0,0.8,0.7114599546899081
mp-1214455,BaFe2Si2O7,4.092469738777717,0.0,-2.761188282083334,FM,32.0000329,0.047260615844863,8.000008225,677.0972474214639,48,Monoclinic,P2_1/c,True,14.10619265461383,"{'Ba': 4.0, 'Fe': 8.0, 'Si': 8.0, 'O': 28.0}","['Ba', 'Fe', 'O', 'Si']",4,0.2901186619934018,13.925695775683288,2.2979126799450613,0.3771795554144471,1.0,1.0,0.6,0.7108718221657788
